name,ticker
모트렉스,118990.KS
데이타솔루션,263800.KS
지니언스,263860.KS
디앤씨미디어,263720.KS
루켄테크놀러지스,162120.KS
힘스,238490.KS
제일약품,271980.KS
브이원텍,251630.KS
아우딘퓨쳐스,227610.KS
이녹스첨단소재,272290.KS
카카오,035720.KS
오리온,271560.KS
하림지주,003380.KS
덴티스,261200.KS
메디안디노스틱,233250.KS
나인테크,267320.KS
에스알바이오텍,270210.KS
레드우즈,266170.KS
보라티알,250000.KS
매일유업,267980.KS
LK삼양,225190.KS
이랜시스,264850.KS
필옵틱스,161580.KS
미원에스씨,268280.KS
경동도시가스,267290.KS
넷마블,251270.KS
HD건설기계,267270.KS
HD현대,267250.KS
HD현대일렉트릭,267260.KS
포인트엔지니어링,256630.KS
하나머티리얼즈,166090.KS
소프트캠프,258790.KS
와이엠티,251370.KS
크라운제과,264900.KS
AP시스템,265520.KS
유에스티,263770.KS
이엘피,063760.KS
유비쿼스,264450.KS
서진시스템,178320.KS
코미코,183300.KS
아스타,246720.KS
덴티움,145720.KS
에스디생명공학,217480.KS
신신제약,002800.KS
에프엔에스테크,083500.KS
모바일어플라이언스,087260.KS
피씨엘,241820.KS
호전실업,111110.KS
서플러스글로벌,140070.KS
유바이오로직스,206650.KS
도부,227420.KS
한국비엔씨,256840.KS
DSC인베스트먼트,241520.KS
TS인베스트먼트,246690.KS
피엠티,147760.KS
바이오프로테크,199290.KS
HLB펩,196300.KS
유니온바이오메트릭스,203450.KS
신라젠,215600.KS
자비스,254120.KS
핸즈코퍼레이션,143210.KS
티이엠씨씨엔에스,241790.KS
퓨쳐켐,220100.KS
뉴파워프라즈마,144960.KS
엘앤케이바이오,156100.KS
핸디소프트,220180.KS
두산밥캣,241560.KS
삼성바이오로직스,207940.KS
클리오,237880.KS
오가닉티코스메틱,900300.KS
얼라인드,238120.KS
세화피앤씨,252500.KS
아이티센코어,243870.KS
인크로스,216050.KS
에이치엘사이언스,239610.KS
코스메카코리아,241710.KS
JW생명과학,234080.KS
GRT,900290.KS
안지오랩,251280.KS
인텔리안테크,189300.KS
에이치시티,072990.KS
잉글우드랩,950140.KS
앤디포스,238090.KS
수산아이앤티,050960.KS
미투온,201490.KS
화승엔터프라이즈,241590.KS
예선테크,250930.KS
LS에코에너지,229640.KS
스타에스엠리츠,204210.KS
유니테크노,241690.KS
모비스,250060.KS
